Index,Chains,Peaks,MinMass,MaxMass,Even peaks,Odd peaks,Best chain,Best peak,Best score,Max error gain,Peaks with higher error,Max outlier error
0,563,1255,171.06628700,813.28174700,0, 1255,29,4,1992433.873,3.11651499,2,4.08127140353179E-10
Chain indexes:
0,1,3,4,5,6,7,8,9,10,12,13,14,15,16,19,20,22,23,25,27,28,30,33,34,35,37,38,39,41,42,43,44,47,48,49,54,57,58,60,62,63,66,69,70,72,73,74,79,80,83,87,92,93,99,100,102,103,107,108,109,111,112,113,114,120,121,122,124,126,134,142,143,144,146,147,153,154,155,156,157,158,160,161,162,172,179,184,186,187,188,190,191,198,199,200,209,212,219,229,244,245,254,256,257,258,259,260,268,274,281,282,291,299,300,303,304,308,309,317,318,319,320,321,322,324,336,337,338,346,347,351,352,365,366,369,374,385,386,387,389,390,391,392,393,402,403,404,405,406,407,413,414,416,423,436,457,464,465,466,467,468,469,471,483,484,485,486,487,495,497,508,518,525,535,541,549,550,551,552,554,555,556,558,575,576,577,578,579,582,585,599,610,611,628,644,645,646,647,650,651,653,655,665,666,667,668,669,670,679,687,688,704,723,724,725,727,728,729,744,745,746,747,748,749,750,759,760,763,780,781,787,803,810,824,825,827,828,830,840,841,842,843,851,854,865,872,891,906,907,908,909,911,912,914,915,917,926,927,928,929,930,931,932,933,948,956,957,970,975,998,1011,1012,1013,1014,1016,1017,1018,1026,1027,1028,1029,1041,1048,1049,1054,1064,1083,1087,1088,1090,1091,1099,1100,1101,1102,1103,1105,1107,1108,1109,1117,1120,1121,1130,1136,1138,1147,1148,1168,1176,1177,1179,1180,1181,1182,1183,1184,1194,1195,1196,1197,1198,1199,1203,1204,1218,1237,1247,1248,1249,1250,1251,1253,1261,1262,1264,1265,1266,1267,1268,1276,1284,1285,1288,1295,1299,1309,1312,1320,1323,1328,1329,1330,1331,1332,1333,1334,1335,1336,1337,1338,1343,1344,1349,1351,1354,1355,1358,1367,1372,1379,1380,1381,1382,1383,1384,1387,1388,1390,1404,1420,1421,1426,1427,1428,1432,1433,1434,1435,1436,1437,1442,1443,1445,1451,1453,1458,1468,1469,1470,1472,1473,1474,1477,1479,1480,1482,1487,1490,1500,1506,1507,1508,1509,1510,1512,1515,1516,1521,1522,1525,1529,1536,1539,1540,1541,1542,1543,1544,1546,1547,1554,1559,1561,1562,1563,1569,1573,1580,1592,1593,1595,1596,1600,1605,1606,1607,1608,1612,1621,1623,1626,1627,1628,1629,1632,1637,1638,1639,1640,1641,1646,1649,1651,1654,1655,1656,1659,1660,1662,1663,1664,1665,1666,1673,1681,1686,1691,1692,1693,1694,1695,1697,1700,1704,1705,1708,1709,1716,1717,1718,1726,1729,1730,1733,1734,1735,1739,1743,1744,1745,1748,1749,1756,1757,1758,1762,1763,1764,1765,1766,1767,1769,1770,1771,1775,1780,1781,1782,1783,1785,1786,1790,1791,1792,1801,1808,1809,1811,1813,1818,1819,1822,1823,1826,1827,1832,1833,1834,1835,1837,1838,1839,1840,1841,1842,1849,1850,1853,1854,1855,1856,1857,1859,1860,1865,1866,1868,1869,1870,1871,1874,
1,399,948,207.03326200,777.22894300,0, 948,14,3,534624.471,0.00000000,0,0
Chain indexes:
24,26,36,40,61,67,68,71,81,82,89,94,98,101,118,119,125,133,136,137,145,151,171,174,175,185,189,201,215,216,217,218,225,226,227,228,234,235,237,241,243,255,261,267,273,283,284,290,298,301,305,307,323,334,348,349,358,359,360,361,364,367,368,373,375,377,378,380,384,424,426,428,429,440,441,442,443,444,445,450,451,454,456,470,488,504,505,507,514,515,516,517,524,526,527,528,530,531,532,536,540,557,574,583,596,598,609,612,614,616,617,618,626,627,629,630,631,643,654,677,689,691,695,696,697,705,706,712,713,714,715,716,742,743,771,782,784,785,791,792,793,794,804,806,807,808,809,820,821,829,844,861,873,874,881,882,884,885,892,893,894,895,896,897,898,899,905,916,934,945,946,962,965,971,972,973,974,980,981,982,983,984,985,986,995,997,1009,1010,1037,1038,1052,1057,1058,1059,1060,1061,1065,1066,1067,1069,1070,1071,1072,1081,1082,1084,1089,1137,1149,1151,1152,1153,1155,1156,1157,1158,1159,1160,1167,1174,1175,1193,1211,1214,1219,1220,1221,1222,1225,1226,1227,1228,1229,1232,1233,1234,1236,1274,1275,1287,1293,1294,1300,1301,1303,1304,1305,1306,1310,1311,1319,1326,1327,1350,1357,1359,1360,1361,1362,1363,1364,1365,1366,1378,1393,1394,1405,1406,1409,1410,1411,1412,1413,1414,1415,1417,1431,1444,1450,1454,1455,1456,1457,1459,1460,1462,1463,1481,1488,1489,1493,1494,1495,1496,1498,1499,1511,1514,1523,1524,1531,1532,1533,1534,1535,1538,1545,1552,1553,1560,1564,1570,1571,1572,1575,1576,1594,1597,1598,1599,1613,1614,1615,1616,1618,1630,1631,1642,1643,1644,1645,1647,1648,1653,1658,1675,1676,1677,1678,1682,1683,1696,1698,1699,1703,1706,1707,1719,1720,1721,1722,1723,1728,1737,1738,1741,1742,1750,1752,1759,1760,1761,1772,1773,1779,1784,1795,1796,1797,1798,1799,1802,1803,1805,1806,1812,1814,1815,1816,1817,1824,1825,1829,1830,1831,1843,1844,1845,1846,1847,1852,1858,1861,1862,1863,1864,1867,1872,1873,
2,318,679,196.02515600,742.25620600,679, 0,12,2,147997.709,0.00000000,0,0
Chain indexes:
11,18,32,46,50,51,55,56,75,76,78,84,86,91,95,96,97,115,116,117,123,127,129,130,135,139,140,159,170,176,177,181,182,183,193,194,195,202,203,207,208,214,223,231,239,247,248,251,262,265,269,270,275,279,288,294,295,297,311,312,315,328,329,331,339,343,371,383,394,397,398,399,411,417,418,430,434,439,446,447,459,460,462,472,473,474,476,477,480,489,490,494,511,520,523,547,564,565,567,569,572,580,581,586,587,594,600,607,620,635,636,656,657,659,660,661,674,675,680,722,733,734,736,737,739,751,757,768,778,788,789,813,832,833,834,835,838,847,849,850,859,866,867,870,879,886,921,924,937,938,939,940,941,942,943,949,950,961,966,967,1021,1022,1023,1024,1025,1032,1036,1042,1043,1047,1074,1080,1093,1094,1097,1114,1115,1116,1123,1131,1134,1139,1140,1154,1170,1171,1173,1186,1187,1188,1190,1191,1200,1209,1215,1245,1246,1254,1255,1256,1257,1259,1272,1273,1277,1282,1291,1296,1307,1315,1318,1324,1339,1340,1341,1345,1348,1353,1370,1374,1376,1377,1385,1386,1391,1392,1395,1396,1402,1422,1423,1425,1429,1430,1438,1439,1440,1446,1461,1465,1466,1475,1476,1483,1484,1486,1491,1497,1501,1502,1503,1505,1513,1517,1518,1527,1537,1549,1550,1551,1556,1557,1565,1566,1568,1578,1579,1583,1584,1586,1587,1590,1601,1602,1603,1609,1610,1619,1622,1624,1633,1634,1635,1636,1652,1661,1668,1669,1671,1679,1688,1689,1701,1702,1710,1711,1714,1724,1727,1731,1732,1740,1746,1754,1755,1768,1774,1776,1778,1787,1789,1793,1800,1810,1820,1821,1836,1848,
3,239,609,202.04383100,728.24821100,609, 0,17,2,180659.375,0.00000000,0,0
Chain indexes:
17,21,31,45,52,53,59,64,65,85,88,90,104,105,106,128,131,132,138,141,148,150,163,166,167,169,173,178,192,196,197,205,206,213,220,221,222,224,232,233,238,252,253,264,271,277,278,280,289,293,310,316,330,333,341,344,356,357,363,381,395,396,400,409,410,419,420,422,431,438,448,463,475,481,492,493,498,501,502,503,509,512,513,542,548,562,563,568,573,591,592,593,595,603,608,621,642,658,662,664,682,683,684,685,686,694,700,701,731,732,735,740,753,754,755,756,765,766,767,769,773,774,779,795,814,839,848,856,857,858,860,868,871,876,880,922,925,951,952,953,954,955,960,969,987,1002,1004,1006,1008,1019,1020,1033,1034,1035,1045,1056,1062,1098,1113,1124,1125,1126,1132,1133,1135,1141,1142,1146,1161,1189,1192,1201,1202,1208,1210,1216,1241,1260,1279,1281,1283,1289,1292,1325,1346,1347,1352,1375,1397,1399,1400,1401,1403,1408,1418,1441,1447,1448,1449,1452,1464,1467,1471,1485,1492,1519,1520,1526,1528,1558,1567,1574,1577,1585,1588,1589,1591,1604,1611,1620,1625,1670,1672,1680,1684,1687,1690,1712,1713,1715,1725,1736,1747,1753,1777,1788,1794,1807,1851,
4,146,384,238.04730000,636.20498700,384, 0,2,3,48639.733,0.00000000,0,0
Chain indexes:
77,149,164,168,204,246,250,266,276,286,287,314,326,327,332,342,345,353,362,372,382,401,408,412,432,433,461,479,482,510,521,522,534,543,544,546,560,561,571,588,589,604,606,615,623,624,625,633,634,638,639,640,641,663,672,673,676,702,703,711,717,719,720,721,741,752,758,764,775,790,796,797,800,801,802,815,816,818,819,831,837,845,846,877,887,902,903,904,920,923,936,944,959,977,979,989,990,992,993,994,1000,1001,1003,1005,1007,1030,1031,1063,1076,1077,1078,1079,1092,1095,1096,1111,1112,1143,1163,1165,1166,1169,1172,1185,1224,1240,1242,1243,1244,1258,1270,1271,1278,1298,1314,1316,1317,1368,1369,1398,1407,1419,1424,1504,1548,1555,
5,99,246,284.02341000,590.19091900,246, 0,18,2,35741.184,0.00000000,0,0
Chain indexes:
230,249,263,272,292,296,313,325,340,354,355,370,376,421,437,449,458,478,491,499,500,519,533,545,559,566,570,590,601,602,605,619,622,632,637,671,681,692,693,698,699,708,709,710,718,730,738,772,776,777,798,799,811,812,817,836,855,869,875,878,888,889,890,900,901,918,919,935,968,976,978,988,991,999,1044,1046,1055,1073,1075,1110,1122,1144,1145,1162,1164,1207,1217,1223,1230,1231,1238,1239,1269,1280,1290,1297,1308,1313,1373,
6,87,229,273.07281800,627.24082400,0, 229,22,3,38878.392,0.00000000,0,0
Chain indexes:
180,211,236,242,285,302,306,350,379,415,427,435,452,453,455,496,506,529,537,538,539,553,584,597,613,648,649,652,678,690,707,726,761,762,770,783,786,805,822,823,826,852,853,862,863,864,883,910,913,947,958,963,964,996,1015,1039,1040,1050,1053,1068,1085,1086,1104,1106,1119,1127,1128,1129,1150,1178,1205,1206,1212,1213,1235,1252,1263,1286,1302,1321,1322,1342,1356,1371,1389,1416,1478,
7,4,18,562.13154100,676.23603400,18, 0,0,3,6592.871,0.00000000,0,0
Chain indexes:
1582,1650,1657,1685,
8,3,17,541.13128000,659.19469600,0, 17,0,5,6901.131,0.00000000,0,0
Chain indexes:
1530,1617,1667,
9,2,9,425.08704100,491.13414800,0, 9,1,3,7860.086,0.00000000,0,0
Chain indexes:
1051,1118,
10,1,8,263.03273600,361.14235100,0, 8,0,3,25547.639,0.00000000,0,0
Chain indexes:
152,
11,1,7,307.05895100,391.15312700,0, 7,0,1,15418.223,0.00000000,0,0
Chain indexes:
335,
12,1,6,249.05351200,319.13169200,0, 6,0,3,15087.662,0.00000000,0,0
Chain indexes:
110,
13,1,6,627.16781100,697.24622600,0, 6,0,2,5278.701,0.00000000,0,0
Chain indexes:
1751,
14,1,6,597.15739600,667.23613100,0, 6,0,1,6065.479,0.00000000,0,0
Chain indexes:
1674,
15,1,6,267.03455400,337.11293900,0, 6,0,2,14692.791,0.00000000,0,0
Chain indexes:
165,
16,1,6,319.05895600,389.13743600,0, 6,0,2,13494.426,0.00000000,0,0
Chain indexes:
388,
17,1,6,325.04010100,395.11822600,0, 6,0,2,12213.441,0.00000000,0,0
Chain indexes:
425,
18,1,6,289.04844900,359.12677500,0, 6,0,1,13129.696,0.00000000,0,0
Chain indexes:
240,
19,1,6,562.12334700,632.20229600,6, 0,0,3,6892.951,0.00000000,0,0
Chain indexes:
1581,
20,1,6,279.06407500,349.14230300,0, 6,0,2,17242.211,0.00000000,0,0
Chain indexes:
210,
21,1,5,173.08191400,229.14454300,0, 5,0,2,20247.378,0.00000000,0,0
Chain indexes:
2,
22,1,5,669.17802100,725.24139000,0, 5,0,0,3998.734,0.00000000,0,0
Chain indexes:
1828,
23,1,5,213.01531100,269.07793900,0, 5,0,1,8684.294,0.00000000,0,0
Chain indexes:
29,
24,1,5,657.17872100,713.24164000,0, 5,0,1,4755.629,0.00000000,0,0
Chain indexes:
1804,